"File","Status","DiffLines"
"src\infra\binaries.test.ts","DIFFERENT","0"
"src\infra\channel-activity.test.ts","DIFFERENT","0"
"src\infra\control-ui-assets.ts","DIFFERENT","0"
"src\infra\dedupe.test.ts","DIFFERENT","0"
"src\infra\diagnostic-events.test.ts","DIFFERENT","0"
"src\infra\diagnostic-flags.test.ts","DIFFERENT","0"
"src\infra\exec-approval-forwarder.test.ts","DIFFERENT","0"
"src\infra\exec-approval-forwarder.ts","DIFFERENT","0"
"src\infra\exec-approvals-allow-always.test.ts","DIFFERENT","0"
"src\infra\exec-approvals-safe-bins.test.ts","DIFFERENT","0"
"src\infra\exec-approvals.test.ts","DIFFERENT","0"
"src\infra\exec-safe-bin-policy.test.ts","DIFFERENT","0"
"src\infra\exec-safe-bin-runtime-policy.test.ts","DIFFERENT","0"
"src\infra\exec-safe-bin-runtime-policy.ts","DIFFERENT","0"
"src\infra\exec-safe-bin-trust.test.ts","DIFFERENT","0"
"src\infra\exec-safe-bin-trust.ts","DIFFERENT","0"
"src\infra\fs-safe.ts","DIFFERENT","0"
"src\infra\gateway-lock.ts","DIFFERENT","0"
"src\infra\heartbeat-events-filter.ts","DIFFERENT","0"
"src\infra\heartbeat-runner.ghost-reminder.test.ts","DIFFERENT","0"
"src\infra\heartbeat-runner.respects-ackmaxchars-heartbeat-acks.test.ts","DIFFERENT","0"
"src\infra\heartbeat-runner.returns-default-unset.test.ts","DIFFERENT","0"
"src\infra\heartbeat-runner.ts","DIFFERENT","0"
"src\infra\is-main.test.ts","DIFFERENT","0"
"src\infra\node-shell.test.ts","DIFFERENT","0"
"src\infra\ports-format.ts","DIFFERENT","0"
"src\infra\restart.test.ts","DIFFERENT","0"
"src\infra\retry-policy.test.ts","DIFFERENT","0"
"src\infra\shell-env.test.ts","DIFFERENT","0"
"src\infra\ssh-tunnel.test.ts","DIFFERENT","0"
"src\infra\state-migrations.fs.test.ts","DIFFERENT","0"
"src\infra\system-run-command.test.ts","DIFFERENT","0"
"src\infra\system-run-command.ts","DIFFERENT","0"
"src\infra\tailnet.test.ts","DIFFERENT","0"
"src\infra\tmp-openclaw-dir.ts","DIFFERENT","0"
"src\infra\update-channels.ts","DIFFERENT","0"
"src\infra\update-check.test.ts","DIFFERENT","0"
"src\infra\update-check.ts","DIFFERENT","0"
"src\infra\update-global.ts","DIFFERENT","0"
"src\infra\voicewake.test.ts","DIFFERENT","0"
"src\infra\net\fetch-guard.ssrf.test.ts","DIFFERENT","0"
"src\infra\net\ssrf.pinning.test.ts","DIFFERENT","0"
"src\infra\net\ssrf.test.ts","DIFFERENT","0"
"src\infra\net\ssrf.ts","DIFFERENT","0"
"src\infra\outbound\agent-delivery.test.ts","DIFFERENT","0"
"src\infra\outbound\agent-delivery.ts","DIFFERENT","0"
"src\infra\outbound\deliver.test.ts","DIFFERENT","0"
"src\infra\outbound\deliver.ts","DIFFERENT","0"
"src\infra\outbound\message-action-params.ts","DIFFERENT","0"
"src\infra\outbound\message-action-runner.ts","DIFFERENT","0"
"src\infra\outbound\outbound.test.ts","DIFFERENT","0"
"src\infra\outbound\payloads.ts","DIFFERENT","0"
"src\infra\outbound\targets.test.ts","DIFFERENT","0"
"src\infra\outbound\targets.ts","DIFFERENT","0"
